Date,Team,Relinquished,Notes,Notes2
2002-10-28,Wizards,Jahidi White,placed on IL recovering from surgery on left knee,placed on IL recovering from surgery on left knee
2002-10-28,Wizards,Ratko Varda,placed on IL with sore right hamstring and lower back,sore right hamstring and lower back
2002-10-30,Celtics,Kedrick Brown,placed on IL with sprained right ankle,sprained right ankle
2002-10-30,Warriors,Bob Sura,placed on IL with strained right calf,strained right calf
2002-10-31,Grizzlies,Robert Archibald,placed on IL,placed on IL
2002-10-31,Hawks,Nazr Mohammed,placed on IR with a stress fracture in right foot,a stress fracture in right foot
2002-11-03,Spurs,Craig Claxton / Speedy Claxton,placed on IR with dislocated right shoulder,dislocated right shoulder
2002-11-08,Bulls,Corie Blount,placed on IR with strained left hamstring (left knee tendinitis per Bulls media guide),strained left hamstring (left knee tendinitis per Bulls media guide)
2002-11-08,Grizzlies,Michael Dickerson,placed on IL with groin injury,groin injury
2002-11-08,Magic,Horace Grant,placed on IL with sore left knee,sore left knee
2002-11-09,Mavericks,Raef LaFrentz,placed on IL with sprained right ankle,sprained right ankle
2002-11-11,Mavericks,Nick Van Exel,placed on IR with arthroscopic surgery on right knee,arthroscopic surgery on right knee
2002-11-12,Clippers,Quentin Richardson,placed on IL with bruised right knee,bruised right knee
2002-11-15,Grizzlies,Robert Archibald,placed on IR with strained back muscle,strained back muscle
2002-11-15,Heat,Sean Marks,placed on IL recovering from surgery on left foot,placed on IL recovering from surgery on left foot
2002-11-16,Cavaliers,Darius Miles,placed on IL with left knee patellar tendinitis,left knee patellar tendinitis
2002-11-16,Knicks,Mark Pope,placed on IL with sore lower back,sore lower back
2002-11-19,Bulls,Dalibor Bagaric,placed on IL with left knee tendinitis,left knee tendinitis
2002-11-19,Timberwolves,Wally Szczerbiak,placed on IL with sprained toe,sprained toe
2002-11-20,Hawks,Dan Dickau,placed on IL with torn cartilage in left knee,torn cartilage in left knee
2002-11-20,Nuggets,Chris Whitney,placed on IL with sprained left ankle,sprained left ankle
2002-11-22,Clippers,Tremaine Fowlkes,placed on IL with sprained right knee,sprained right knee
2002-11-22,Hornets,Bryce Drew,placed on IL with arthroscopic surgery on left knee / orbital wall fracture (P),arthroscopic surgery on left knee / orbital wall fracture (P)
2002-11-22,Lakers,Devean George,placed on IL with right ankle tendinitis,right ankle tendinitis
2002-11-22,Rockets,Cuttino Mobley,placed on IL with sprained left ankle,sprained left ankle
2002-11-22,Rockets,Jason Collier,placed on IL with medial tibial periostitis,medial tibial periostitis
2002-11-22,Suns,Randy Brown,placed on IL with left knee tendinitis,left knee tendinitis
2002-11-25,Bucks,Ray Allen,placed on IL with sprained right ankle,sprained right ankle
2002-11-26,Clippers,Corey Maggette,placed on IL with torn cartilage in right knee,torn cartilage in right knee
2002-11-26,Lakers,Samaki Walker,placed on IL with strained lower back,strained lower back
2002-11-26,Pacers,Erick Strickland,placed on IL with right Achilles tendinitis,right Achilles tendinitis
2002-11-27,Suns,Iakovos Tsakalidis / Jake Tsakalidis,placed on IR with bulging disc in lower spine,bulging disc in lower spine
2002-11-29,Heat,Ken Johnson (Allen),placed on IL with left patella tendinitis,left patella tendinitis
2002-11-29,Nuggets,Predrag Savovic,placed on IL with sprained right ankle,sprained right ankle
2002-11-30,Mavericks,Adam Harrington,placed on IL with sprained left knee,sprained left knee
2002-11-30,Mavericks,Evan Eschmeyer,placed on IL recovering from surgery on right knee,placed on IL recovering from surgery on right knee
2002-12-01,Clippers,Michael Olowokandi,placed on IL with sore left knee,sore left knee
2002-12-01,Kings,Hidayet Turkoglu / Hedo Turkoglu,placed on IL with sprained right wrist,sprained right wrist
2002-12-01,Lakers,Jannero Pargo,placed on IL with right knee tendinitis,right knee tendinitis
2002-12-02,Bucks,Toni Kukoc,placed on IL with torn ligament in right thumb / left thumb (per Bucks media guide),torn ligament in right thumb / left thumb (per Bucks media guide)
2002-12-02,Knicks,Frank Williams,placed on IL with left Achilles tendinitis,left Achilles tendinitis
2002-12-02,Wizards,Juan Dixon,placed on IL with sprained left elbow,sprained left elbow
2002-12-03,76ers,Efthimios Rentzias,placed on IL with strained lower back,strained lower back
2002-12-03,Nets,Chris Childs,placed on IR with right Achilles tedinitis,right Achilles tedinitis
2002-12-03,Nets,Kerry Kittles,placed on IL with sprained left knee,sprained left knee
2002-12-03,Nuggets,Chris Andersen,placed on IR with fractured right thumb,fractured right thumb
2002-12-04,Bucks,Toni Kukoc,placed on IL with torn ligament in right thumb,torn ligament in right thumb
2002-12-04,Hornets,Jerome Moiso,placed on IL with left knee tendinitis,left knee tendinitis
2002-12-04,Magic,Olumide Oyedeji,placed on IL with strained lower back,strained lower back
2002-12-04,Pacers,Fred Jones,placed on IL with left knee tendinitis,left knee tendinitis
2002-12-06,Spurs,Emanuel Ginobili / Manu Ginobili,placed on IL with sprained right ankle,sprained right ankle
2002-12-06,Suns,Tom Gugliotta,placed on IL with bruised right foot,bruised right foot
2002-12-07,Rockets,Tito Maddox,placed on IL with plantar fasciatis in left foot,plantar fasciatis in left foot
2002-12-09,Cavaliers,Vernell Coles / Bimbo Coles,placed on IL with bruised left quadriceps,bruised left quadriceps
2002-12-10,Mavericks,Eduardo Najera,placed on IL recovering from surgery on left knee,placed on IL recovering from surgery on left knee
2002-12-13,Clippers,Cherokee Parks,placed on IL with back spasms,back spasms
2002-12-13,Heat,Eddie House,placed on IR with stress reaction in right fibula,stress reaction in right fibula
2002-12-13,Kings,Scot Pollard,placed on IR with stress fracture in lower back,stress fracture in lower back
2002-12-15,76ers,Monty Williams,placed on IL with bone bruise in left knee,bone bruise in left knee
2002-12-16,Bulls,Corie Blount,placed on IL with bruised left hip,bruised left hip
2002-12-16,Hornets,Kirk Haston,placed on IL with back spasms,back spasms
2002-12-19,Kings,Mateen Cleaves,placed on IL with strained lower back,strained lower back
2002-12-20,Nuggets,Chris Whitney,placed on IR with bone bruise in left ankle,bone bruise in left ankle
2002-12-22,Heat,Ken Johnson (Allen),placed on IL with strained lower back,strained lower back
2002-12-23,Hawks,Emanual Davis,placed on IR with a torn right Achilles tendon,a torn right Achilles tendon
2002-12-26,Clippers,Eric Piatkowski,placed on IR with lower abdominal strain,lower abdominal strain
2002-12-26,Suns,Alton Ford,placed on IL with sprained right ankle,sprained right ankle
2002-12-26,Wizards,Jared Jeffries,placed on IL with torn ACL in right knee (out for season),torn ACL in right knee (out for season)
2002-12-28,Bulls,Dalibor Bagaric,placed on IL with left knee tendinitis,left knee tendinitis
2002-12-28,Clippers,Marko Jaric,placed on IR with high left ankle sprain,high left ankle sprain
2002-12-30,Grizzlies,Wesley Person,placed on IL with broken right index finger,broken right index finger
2002-12-30,Pacers,Jonathan Bender,placed on IL with left knee patella tendinitis,left knee patella tendinitis
2002-12-31,Kings,Bobby Jackson,placed on IL with broken left hand,broken left hand
2003-01-02,Suns,Iakovos Tsakalidis / Jake Tsakalidis,placed on IR recovering from surgery on lower back,placed on IR recovering from surgery on lower back
2003-01-03,Heat,Travis Best,placed on IL with sprained right ankle,sprained right ankle
2003-01-03,Nets,Dikembe Mutombo,placed on IR recovering from surgery on right wrist,placed on IR recovering from surgery on right wrist
2003-01-06,Celtics,Ruben Wolkowyski,place on IR with appendectomy,place on IR with appendectomy
2003-01-06,Pistons,Zeljko Rebraca,placed on IL with irregular heartbeat,irregular heartbeat
2003-01-07,Sonics,Reggie Evans,placed on IL with sore right shoulder,sore right shoulder
2003-01-08,Pacers,Austin Croshere,placed on IR with bruised right rib cage,bruised right rib cage
2003-01-09,Hawks,Chris Crawford (Lee),placed on IL with left knee inflammation,left knee inflammation
2003-01-09,Nets,Brandon Armstrong,placed on IL with strained lower back,strained lower back
2003-01-10,Bucks,Ronald Murray / Flip Murray,placed on IR with left shoulder tendinitis,left shoulder tendinitis
2003-01-10,Hornets,Bryce Drew,placed on IR with left foot inflammation,left foot inflammation
2003-01-10,Wizards,Brian Cardinal,placed on IL with left knee tendinitis,left knee tendinitis
2003-02-14,Spurs,David Robinson,placed on IL with sore right knee and lower back spasms,sore right knee and lower back spasms
2003-02-15,Hornets,Bryce Drew,placed on IL with strained right calf,strained right calf
2003-02-15,Kings,Mateen Cleaves,placed on IL with left quadriceps tendinitis,left quadriceps tendinitis
2003-02-15,Spurs,Mengke Bateer,placed on IL with left knee tendinitis,left knee tendinitis
2003-02-18,Rockets,Jason Collier,placed on IL with medial tibial periostitis,medial tibial periostitis
2003-02-18,Suns,Anfernee Hardaway / Penny Hardaway,placed on IL recovering from surgery on right thumb,placed on IL recovering from surgery on right thumb
2003-02-19,76ers,Todd MacCulloch,placed on IL with right foot neuropathy,right foot neuropathy
2003-02-20,Celtics,Bruno Sundov,placed on IL with sprained right ankle,sprained right ankle
2003-02-20,Celtics,Mark Bryant,placed on IL with strained right quadriceps,strained right quadriceps
2003-02-20,Hornets,Kenny Anderson,placed on IL with strained lower back,strained lower back
2003-02-20,Mavericks,Adrian Griffin,placed on IL with left knee / right knee (P) tendinitis,left knee / right knee (P) tendinitis
2003-02-20,Pacers,Fred Jones,placed on IL with left knee patella tendinitis,left knee patella tendinitis
2003-02-21,Bulls,Rick Brunson,placed on IL with right knee tendinitis,right knee tendinitis
2003-02-21,Knicks,Charlie Ward,placed on IL with abdominal strain,abdominal strain
2003-02-21,Rockets,Bostjan Nachbar,placed on IL with strained left groin,strained left groin
2003-02-21,Sonics,Ansu Sesay,placed on IL with strained lower back,strained lower back
2003-02-21,Sonics,Calvin Booth,placed on IL with left knee tendinitis,left knee tendinitis
2003-02-22,Grizzlies,Ryan Humphrey,placed on IL with sprained left ankle,sprained left ankle
2003-02-22,Heat,Anthony Carter,placed on IL with left knee tendinitis,left knee tendinitis
2003-02-25,Cavaliers,Vernell Coles / Bimbo Coles,placed on IL with flu,flu
2003-02-25,Pacers,Jonathan Bender,placed on IL with sore left calf,sore left calf
2003-02-26,Wizards,Etan Thomas,placed on IR with bruised left eye,bruised left eye
2003-02-27,Clippers,Keyon Dooling,placed on IR with strained left arch,strained left arch
2003-02-28,Magic,Olumide Oyedeji,placed on IL with sprained left ankle,sprained left ankle
2003-02-28,Wizards,Tyronn Lue,placed on IL with separated left shoulder,separated left shoulder
2003-03-01,Mavericks,Antoine Rigaudeau,placed on IL with back spasms,back spasms
2003-03-03,Kings,Damon Jones,placed on IL with sprained right ankle,sprained right ankle
2003-03-04,Heat,Eddie Jones,placed on IL with sprained right ankle,sprained right ankle
2003-03-04,Pistons,Chucky Atkins,placed on IL with bone bruise in left knee,bone bruise in left knee
2003-03-05,Suns,Alton Ford,placed on IL with back spasms,back spasms
2003-03-06,Bulls,Eddie Robinson,placed on IL with strained right hamstring,strained right hamstring
2003-03-07,Clippers,Elton Brand,placed on IL with stress fracture in left leg,stress fracture in left leg
2003-03-07,Knicks,Lavor Postell,placed on IL with left knee tendinitis,left knee tendinitis
2003-03-07,Lakers,Tracy Murray,placed on IL with sprained right ankle,sprained right ankle
2003-03-08,Celtics,Mark Bryant,placed on IL with right knee tendinitis,right knee tendinitis
2003-03-08,Mavericks,Evan Eschmeyer,placed on IL with sore right knee,sore right knee
2003-03-08,Pacers,Jamison Brewer,placed on IL with strained left shoulder,strained left shoulder
2003-03-08,Spurs,David Robinson,placed on IL with lower back pain and spasms,lower back pain and spasms
2003-03-10,Heat,Sean Marks,placed on IL with sprained left elbow,sprained left elbow
2003-03-10,Hornets,Kirk Haston,placed on IL with back spasms,back spasms
2003-03-11,Pacers,Fred Jones,placed on IL with left knee patella tendinitis,left knee patella tendinitis
2003-03-12,Grizzlies,Cezary Trybanski,placed on IL with right knee tendinitis,right knee tendinitis
2003-03-13,Mavericks,Avery Johnson,placed on IL with strained right calf,strained right calf
2003-03-13,Suns,Randy Brown,placed on IL with strained left calf,strained left calf
2003-03-18,Bulls,Fred Hoiberg,placed on IL with right Achilles tendinitis,right Achilles tendinitis
2003-03-18,Pistons,Juan Sanchez / Pepe Sanchez,placed on IL with right knee tendinitis,right knee tendinitis
2003-03-18,Rockets,Tito Maddox,placed on IR with viral infection,viral infection
2003-03-18,Timberwolves,Igor Rakocevic,placed on IR with right ankle synovitis,right ankle synovitis
2003-03-19,Blazers,Scottie Pippen (Sr.),placed on IL with swelling in left knee,swelling in left knee
2003-03-19,Heat,Sean Marks,placed on IL with torn ulnar collateral ligament in left elbow (out for season),torn ulnar collateral ligament in left elbow (out for season)
2003-03-19,Magic,Pat Burke,placed on IL with left knee patella tendinitis,left knee patella tendinitis
2003-03-19,Nets,Tamar Slay,placed on IL with right knee patella tendinitis,right knee patella tendinitis
2003-03-21,Celtics,Bruno Sundov,placed on IL with a strained right hamstring,a strained right hamstring
2003-03-21,Nuggets,Vincent Yarbrough,placed on IL with sprained right ankle,sprained right ankle
2003-03-21,Spurs,Mengke Bateer,placed on IL with left knee patella tendinitis,left knee patella tendinitis
2003-03-22,Bucks,Jamal Sampson,placed on IL with sprained right shoulder,sprained right shoulder
2003-03-22,Bulls,Dalibor Bagaric,placed on IL with sprained left ankle,sprained left ankle
2003-03-22,Mavericks,Ronald Jones / Popeye Jones,placed on IL with sprained right ankle,sprained right ankle
2003-03-23,Nuggets,Ryan Bowen,placed on IL with bruised abdominal muscle,bruised abdominal muscle
2003-03-26,Rockets,Bostjan Nachbar,placed on IL with strained left groin,strained left groin
